ra,dec,d
81.52583,7.31653,372.6401
81.24597,8.32026,365.5573
80.95632,9.37033,358.5821
80.65589,10.46876,351.7251
80.34344,11.61738,344.9971
80.01773,12.81817,338.41
79.67732,14.07266,331.9762
79.3206,15.38269,325.7088
78.94589,16.74978,319.6215
78.55125,18.17533,313.7289
78.13438,19.66034,308.0461
77.69306,21.20552,302.5887
77.22442,22.81132,297.373
76.72554,24.47765,292.4156
76.19294,26.20389,287.7338
75.62282,27.98889,283.3445
75.01088,29.8305,279.2651
74.35222,31.72615,275.5126
73.64126,33.67224,272.1036
72.87179,35.66427,269.0544
72.03664,37.69674,266.38
71.12777,39.76333,264.0945
70.13572,41.85666,262.2105
69.05015,43.96834,260.7388
67.85888,46.08916,259.6885
66.54839,48.20891,259.0666
65.10308,50.31685,258.8774
63.50519,52.40142,259.1234
61.73532,54.45033,259.8042
59.77103,56.45084,260.9171
57.58839,58.38997,262.4574
55.1612,60.25392,264.4176
52.46286,62.02891,266.7888
49.46658,63.70056,269.5596
46.14821,65.25458,272.7176
42.48963,66.67646,276.249
38.48244,67.95209,280.1389
34.13336,69.06849,284.3717
29.46866,70.01407,288.9311
24.53838,70.78024,293.8009
19.4174,71.36232,298.9647
14.19944,71.75993,304.4061
8.9912,71.97835,310.1095
3.89844,72.02767,316.0592
359.01646,71.92195,322.2402
354.41964,71.67855,328.6385
350.15852,71.31597,335.2406
346.26002,70.85277,342.0337
342.73072,70.30647,349.0059
339.56233,69.69303,356.1462
336.73607,69.02645,363.4445
334.22798,68.31862,370.8914
332.01077,67.57924,378.4785
330.05683,66.81676,386.198
328.33978,66.03759,394.0436
326.83437,65.24735,402.0089
325.51813,64.45004,410.089
324.37015,63.64936,418.2795
323.37203,62.84778,426.5768
322.50733,62.0476,434.9777
321.76137,61.2505,443.4802
321.12089,60.45797,452.0826
320.57418,59.67099,460.7836
320.11088,58.89062,469.5828
319.72158,58.11751,478.4799
319.39764,57.35251,487.4751
319.1318,56.59633,496.5692
318.91668,55.84958,505.7626
318.74621,55.11286,515.0563
318.61447,54.38694,524.4513
318.51576,53.67265,533.9484
318.44545,52.9706,543.5485
318.39842,52.28185,553.2521
318.37047,51.60725,563.0594
318.35738,50.94784,572.9702
318.35504,50.30473,582.9837
318.35981,49.67901,593.0987
318.36802,49.07206,603.3131
318.37619,48.48511,613.6245
318.38086,47.91948,624.0292
318.37892,47.37659,634.523
318.36747,46.85783,645.1012
318.34324,46.36468,655.7581
318.30337,45.89842,666.4873
318.2453,45.46055,677.2824
318.1662,45.05229,688.1361
318.06385,44.67489,699.0413
317.93566,44.32948,709.9908
317.77956,44.01696,720.9779
317.59377,43.73806,731.9961
317.37646,43.49335,743.0404
317.12612,43.28307,754.1065
316.84173,43.10716,765.1914
316.52279,42.96527,776.2943
316.16901,42.85652,787.4157
315.78072,42.77969,798.5581
315.35887,42.73321,809.7258
314.90539,42.71483,820.925
314.42261,42.7218,832.1629
313.91408,42.75102,843.4477
313.38439,42.79859,854.7877
312.83882,42.86029,866.1912
312.28435,42.93149,877.6647
311.72843,43.00716,889.213
311.18006,43.08174,900.8379
310.6488,43.14977,912.5377
310.14525,43.20529,924.3073
309.68006,43.24283,936.1378
309.26436,43.25673,948.0175
308.90875,43.242,959.9331
308.62266,43.19395,971.8702
308.41411,43.10877,983.817
308.28867,42.98375,995.7645
308.24918,42.81722,1007.7098
308.2948,42.60936,1019.6563
308.42054,42.3619,1031.6149
308.61719,42.07915,1043.6018
308.8706,41.76757,1055.637
309.16259,41.43645,1067.7395
309.47097,41.09751,1079.9232
309.77045,40.76524,1092.192
310.03421,40.45523,1104.5378
310.23527,40.18429,1116.9397
310.34805,39.96827,1129.3691
310.35161,39.82068,1141.7971
310.23129,39.75044,1154.2047
309.98193,39.76006,1166.5921
309.61074,39.84404,1178.9814
309.13947,39.98729,1191.4116
308.60633,40.16591,1203.9236
308.06455,40.34832,1216.5399
307.57895,40.4985,1229.2481
307.21753,40.58013,1242.0012
307.03921,40.56333,1254.7397
307.07831,40.43014,1267.4296
307.33042,40.18217,1280.0928
307.74301,39.84529,1292.8029
308.21701,39.47201,1305.6321
308.62221,39.13623,1318.5827
308.82514,38.91738,1331.568
308.72873,38.87488,1344.4876
308.31424,39.0184,1357.3464
307.67516,39.28888,1370.2744
