ra,dec,d
118.1717923,-0.085654485,802.0873
118.1533281,-0.065192293,800.5605
118.1345553,-0.044782262,799.0323
118.1153826,-0.024252555,797.5027
118.0959897,-0.003727858,795.9718
118.0763309,0.016877789,794.4395
118.0563635,0.037431724,792.9058
118.0359963,0.058105848,791.3708
118.0154087,0.078775376,789.8343
117.994467,0.099479454,788.2966
117.9732593,0.120265058,786.7575
117.9516975,0.141085468,785.2171
117.9298269,0.161854889,783.6753
117.9076449,0.182792136,782.1323
117.8851542,0.203678638,780.5879
117.8623976,0.224647263,779.0422
117.8392867,0.245651347,777.4953
117.81591,0.2667378,775.947
117.7920906,0.287813229,774.3974
117.7680053,0.308971298,772.8466
117.7436542,0.330212122,771.2945
117.7188603,0.351442375,769.7411
117.6938005,0.37275566,768.1864
117.6685203,0.394066051,766.6305
117.6427519,0.415452365,765.0734
117.6167176,0.436922107,763.515
117.590329,0.458428732,761.9554
117.5637198,0.479932962,760.3946
117.5367109,0.501560433,758.8325
117.5093476,0.523225225,757.2693
117.4816299,0.544927492,755.7048
117.4535579,0.566667392,754.1392
117.4252198,0.588491679,752.5725
117.396482,0.610440038,751.0045
117.3674351,0.632340339,749.4353
117.3379884,0.654365052,747.8649
117.3082325,0.676342002,746.2935
117.2781654,0.698490246,744.7209
117.2476552,0.720630678,743.1472
117.2168337,0.742942749,741.5724
117.1857029,0.765207653,739.9965
117.1541724,0.787598001,738.4194
117.1223758,0.810074221,736.8413
117.090136,0.832543497,735.2621
117.0574964,0.855138768,733.6818
117.0246359,0.877734097,732.1005
116.9912418,0.90049562,730.5181
116.9576268,0.923257506,728.9347
116.9236118,0.946146097,727.3502
116.8892422,0.969075253,725.7648
116.8545178,0.99204514,724.1783
116.8193934,1.015142294,722.5908
116.7838257,1.038234173,721.0023
116.7479466,1.061500082,719.4128
116.7117126,1.084807441,717.8224
116.6750786,1.108242841,716.231
116.6380897,1.131720055,714.6387
116.600746,1.155239248,713.0454
116.5630021,1.178887056,711.4513
116.5248582,1.202663687,709.8561
116.4863592,1.226482858,708.2602
116.4474166,1.250298484,706.6632
116.4081625,1.274289776,705.0654
116.3685082,1.298410679,703.4667
116.3284101,1.322528637,701.8673
116.2880004,1.346822829,700.267
116.2471018,1.371201048,698.6658
116.205848,1.395623127,697.0638
116.1641939,1.420175845,695.461
116.1221395,1.444859415,693.8574
116.0797298,1.46958741,692.2531
116.0368309,1.494400523,690.6479
115.9936203,1.519391241,689.042
115.9499206,1.544467528,687.4354
115.9058654,1.569589028,685.828
115.8614097,1.594842624,684.2199
115.8165535,1.620228528,682.6111
115.7712079,1.6457009,681.0016
115.7254617,1.671306033,679.3915
115.6793598,1.696957358,677.7806
115.6328123,1.722828634,676.1691
115.5859091,1.748746495,674.5571
115.5384713,1.774838771,672.9443
115.4906777,1.800978049,671.331
115.4423494,1.827292249,669.717
115.3937542,1.853699817,668.1025
115.3446241,1.880282787,666.4874
115.2951381,1.906913559,664.8716
115.2451173,1.933720235,663.2555
115.1947404,1.960575123,661.6387
